ETF,Type,FF3_alpha,FF3_alpha_p,FF3_R2,FF3_MktBeta,FF4_alpha,FF4_alpha_p,FF4_R2,GMB_beta,GMB_p
ICLN,Green,-0.02368451403960902,0.3051275158682591,0.4873513399278012,0.9218599032924724,-0.02898657073318089,0.14518043915765239,0.6197222453482787,0.3798030244836616,3.3717663939332315e-181
QCLN,Green,-0.02532110169527097,0.27487621330045514,0.6695885367096401,1.245017092377775,-0.03128306718555121,0.10101388867707554,0.7765898478060391,0.42707437055906383,9.483475806443182e-237
PBW,Green,-0.045525914923677496,0.0889449946268098,0.6429972000810062,1.2549529789102523,-0.05212965859465054,0.020112999457917266,0.7495156228334683,0.47304696349083464,1.41636300342131e-214
XLE,Brown,-0.03315658557598385,0.12562753707743327,0.6278416088158789,1.0678380311798978,-0.02649287880145555,0.09460508902492172,0.800640063556507,-0.47734230950537887,0.0
XOP,Brown,-0.06834849481918834,0.047980536879323334,0.5209032066856045,1.3156239590207968,-0.05786563418747433,0.02389967033559157,0.7369475116450908,-0.7509203321029353,0.0
VDE,Brown,-0.03490650138288305,0.11292932066419879,0.6255438788721277,1.0734049529690686,-0.0280407835244523,0.07852879826888574,0.8039315929014814,-0.4918129998581231,0.0
